OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
1,06073011300,San Diego,CA,6501,3.9,9236.9449,307.897764,2.66234,62336.03181,23835147.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,06073007100,San Diego,CA,5013,1.12,8200.666667,273.3333333,3,44064.21075,31271636.81,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,3
3,06073009901,San Diego,CA,624,2.25,9236.9449,307.897764,2.66234,49877.68693,60623257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,06073006300,San Diego,CA,3424,0.74,9236.9449,307.897764,2.66234,29102.30933,20696494.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,06073006500,San Diego,CA,2711,1.45,4055.6,135.2,5,41140.5928,40396965.93,149.8,157.6,126.6,123.6,115.6,138.4,168.8,202.2,200.8,164,125.8,152.4,129.6,127.2,128,132,109,112,108.6,119.4,118.8,129.2,130.2,116.8,123.8,130,131.4,141.4,175.2,186.6,155.2,5
6,06073006600,San Diego,CA,2009,0.2,2687,90,1,10783.574,5543284.734,97,102,78,78,79,79,80,103,103,80,80,80,78,79,90,97,90,78,78,78,78,98,99,79,80,79,79,80,90,103,90,1
7,06073009101,San Diego,CA,5190,1.07,9236.9449,307.897764,2.66234,26352.50515,29885085.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,06073009102,San Diego,CA,3557,0.37,9236.9449,307.897764,2.66234,17745.58221,10374113.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,06073009103,San Diego,CA,3691,0.68,3371,112,1,25213.3731,18949229.6,129,129,89,89,89,89,89,112,154,129,99,99,89,112,119,119,89,89,94,112,94,129,129,119,119,119,119,119,154,154,154,1
10,06073009104,San Diego,CA,2820,0.66,9236.9449,307.897764,2.66234,21001.80048,18578280.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,06073006801,San Diego,CA,2608,0.26,9236.9449,307.897764,2.66234,12762.73106,7212182.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,06073006802,San Diego,CA,4943,0.39,4704.5,156.5,2,20478.0908,11065635.71,142.5,156.5,126,126,156.5,126,126,142.5,156.5,126,156.5,126,156.5,126,142.5,146,151.5,151.5,151.5,151.5,151.5,217.5,217.5,217.5,217.5,168.5,156.5,168.5,217.5,156.5,156.5,2
13,06073006900,San Diego,CA,5249,0.7,9236.9449,307.897764,2.66234,18700.00113,19521425.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,06073007002,San Diego,CA,2854,0.56,9236.9449,307.897764,2.66234,18710.00897,15624006.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,06073007200,San Diego,CA,5589,1.07,9190,306,1,26311.86234,29356419.26,289,289,200,200,200,200,200,289,289,200,200,200,200,200,175,175,306,200,200,200,306,175,289,306,200,200,200,200,289,289,315,1
16,06073007301,San Diego,CA,5043,0.33,8157.5,272,2,12963.52181,8991445.638,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,2
17,06073007302,San Diego,CA,2051,0.32,8149,272,1,12388.43323,8957551.2,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1
18,06073007400,San Diego,CA,6753,0.59,14533.5,484.5,2,18394.78943,16321313.3,540.5,540.5,540.5,540.5,540.5,540.5,540.5,540.5,540.5,540.5,540.5,484.5,484.5,540.5,540.5,540.5,508.5,540.5,540.5,540.5,540.5,508.5,540.5,540.5,540.5,540.5,529.5,540.5,540.5,540.5,508.5,2
19,06073007501,San Diego,CA,4114,0.39,11264,375.3333333,3,15049.59425,11004825.07,390.3333333,390.3333333,365.3333333,368.6666667,375.3333333,368.6666667,368.6666667,378,378,368.6666667,368.6666667,368.6666667,368.6666667,368.6666667,373.6666667,378,375.3333333,368.6666667,368.6666667,368.6666667,368.6666667,384.3333333,384.3333333,381.3333333,381.3333333,381.3333333,381.3333333,381.3333333,403,375.3333333,403,3
20,06073007502,San Diego,CA,3190,0.28,12724,424,3,12535.05332,7474395.06,438.6666667,458.6666667,424.3333333,427.3333333,424,422.3333333,425.3333333,432.3333333,432.3333333,423.3333333,422.3333333,422.3333333,419,422.3333333,426.6666667,432.3333333,410.3333333,410.3333333,410.3333333,410.3333333,415.3333333,426.6666667,426.6666667,419,416.3333333,411,416.3333333,416.3333333,432.3333333,424.3333333,424.3333333,3
21,06073007600,San Diego,CA,5591,3.8,11281.34783,376.0434783,23,209137.6722,104772188.3,375.8695652,376.7391304,373.4782609,373.0434783,372.8695652,373.9130435,376.4347826,379.0434783,379.4782609,381.3043478,377.3913043,373,374.0434783,372.6956522,376.6956522,377.8695652,372.826087,372.826087,372.6956522,372.826087,374.826087,377,377.8695652,376.7391304,377.6086957,376.4782609,377.6086957,377.6956522,380.2173913,376.6086957,382.1304348,23
